uf	autorizador_nfe	consulta_cadastro	svc	schema_nfe	portal_uf	fonte	data_captura
AC	SVRS	SVRS	SVC-AN	4.00	http://sefaznet.ac.gov.br/nfe/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
AL	SVRS	ver-CCC	SVC-AN	4.00	http://www.sefaz.al.gov.br/nfe/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
AM	AM	AM	SVC-RS	4.00	http://sistemas.sefaz.am.gov.br/nfeweb/portal/index.do	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
AP	SVRS	ver-CCC	SVC-AN	4.00	https://www.sefaz.ap.gov.br/index.php/nf-e	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
BA	BA	BA	SVC-RS	4.00	http://www.sefaz.ba.gov.br/scripts/default/nfiscal.asp	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
CE	SVRS	ver-CCC	SVC-AN	4.00	http://nfe.sefaz.ce.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
DF	SVRS	ver-CCC	SVC-AN	4.00	http://dec.fazenda.df.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
ES	SVRS	SVRS	SVC-AN	4.00	http://internet.sefaz.es.gov.br/informacoes/nfe/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
GO	GO	GO	SVC-RS	4.00	https://www.economia.go.gov.br/receita-estadual/documentos-fiscais/nfe.html	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
MA	SVAN	ver-CCC	SVC-RS	4.00	https://sistemas1.sefaz.ma.gov.br/portalsefaz/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
MG	MG	MG	SVC-AN	4.00	http://www.sped.fazenda.mg.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
MS	MS	MS	SVC-RS	4.00	https://www.sefaz.ms.gov.br/documentos-fiscais-eletronicos/nf-e/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
MT	MT	MT	SVC-RS	4.00	http://www.sefaz.mt.gov.br/portal/nfe/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
PA	SVRS	ver-CCC	SVC-AN	4.00	http://www.sefa.pa.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
PB	SVRS	SVRS	SVC-AN	4.00	https://www.sefaz.pb.gov.br/servirtual/documentos-fiscais/nf-e/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
PE	PE	PE	SVC-RS	4.00	https://www.sefaz.pe.gov.br/Servicos/Nota-Fiscal-Eletronica/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
PI	SVRS	ver-CCC	SVC-AN	4.00	http://portal.sefaz.pi.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
PR	PR	PR	SVC-RS	4.00	http://www.sped.fazenda.pr.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
RJ	SVRS	ver-CCC	SVC-AN	4.00	http://www.fazenda.rj.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
RN	SVRS	SVRS	SVC-AN	4.00	http://www.set.rn.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
RO	SVRS	ver-CCC	SVC-AN	4.00	https://www.sefin.ro.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
RR	SVRS	ver-CCC	SVC-AN	4.00	https://www.sefaz.rr.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
RS	RS	RS	SVC-AN	4.00	http://receita.fazenda.rs.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
SC	SVRS	SVRS	SVC-AN	4.00	http://nfe.sef.sc.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
SE	SVRS	ver-CCC	SVC-AN	4.00	http://nfe.sefaz.se.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
SP	SP	SP	SVC-AN	4.00	http://www.fazenda.sp.gov.br/nfe/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
TO	SVRS	ver-CCC	SVC-AN	4.00	http://www.sefaz.to.gov.br/	https://www.nfe.fazenda.gov.br/portal/principal.aspx	20/06/2026
