autorizador	servico	versao	ambiente	url	data_captura
AM	NfeInutilizacao	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/NfeInutilizacao4	20/06/2026
AM	NfeConsultaProtocolo	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/NfeConsulta4	20/06/2026
AM	NfeStatusServico	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/NfeStatusServico4	20/06/2026
AM	NfeConsultaCadastro	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/CadConsultaCadastro4	20/06/2026
AM	RecepcaoEvento	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/RecepcaoEvento4	20/06/2026
AM	NFeAutorizacao	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/NfeAutorizacao4	20/06/2026
AM	NFeRetAutorizacao	4.00	producao	https://nfe.sefaz.am.gov.br/services2/services/NfeRetAutorizacao4	20/06/2026
BA	NfeInutilizacao	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/NFeInutilizacao4/NFeInutilizacao4.asmx	20/06/2026
BA	NfeConsultaProtocolo	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/NFeConsultaProtocolo4/NFeConsultaProtocolo4.asmx	20/06/2026
BA	NfeStatusServico	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/NFeStatusServico4/NFeStatusServico4.asmx	20/06/2026
BA	NfeConsultaCadastro	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/CadConsultaCadastro4/CadConsultaCadastro4.asmx	20/06/2026
BA	RecepcaoEvento	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx	20/06/2026
BA	NFeAutorizacao	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/NFeAutorizacao4/NFeAutorizacao4.asmx	20/06/2026
BA	NFeRetAutorizacao	4.00	producao	https://nfe.sefaz.ba.gov.br/webservices/NFeRetAutorizacao4/NFeRetAutorizacao4.asmx	20/06/2026
GO	NfeInutilizacao	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/NFeInutilizacao4?wsdl	20/06/2026
GO	NfeConsultaProtocolo	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/NFeConsultaProtocolo4?wsdl	20/06/2026
GO	NfeStatusServico	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/NFeStatusServico4?wsdl	20/06/2026
GO	NfeConsultaCadastro	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/CadConsultaCadastro4?wsdl	20/06/2026
GO	RecepcaoEvento	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/NFeRecepcaoEvento4?wsdl	20/06/2026
GO	NFeAutorizacao	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/NFeAutorizacao4?wsdl	20/06/2026
GO	NFeRetAutorizacao	4.00	producao	https://nfe.sefaz.go.gov.br/nfe/services/NFeRetAutorizacao4?wsdl	20/06/2026
MG	NfeInutilizacao	4.00	producao	https://nfe.fazenda.mg.gov.br/nfe2/services/NFeInutilizacao4	20/06/2026
MG	NfeConsultaProtocolo	4.00	producao	https://nfe.fazenda.mg.gov.br/nfe2/services/NFeConsultaProtocolo4	20/06/2026
MG	NfeStatusServico	4.00	producao	https://nfe.fazenda.mg.gov.br/nfe2/services/NFeStatusServico4	20/06/2026
MG	NfeConsultaCadastro	4.00	producao	https://nfe.fazenda.mg.gov.br/nfe2/services/CadConsultaCadastro4	20/06/2026
MG	RecepcaoEvento	4.00	producao	https://nfe.fazenda.mg.gov.br/nfe2/services/NFeRecepcaoEvento4	20/06/2026
