CFOP	Início de vigência	Fim de vigência	indNFe	indComunica	indTransp	indDevol	indRetor	indAnula	indRemes	indComb
1101	38718	1		0	0	0	0	0	0	0
1102	38718	1		0	0	0	0	0	0	0
1111	38718	1		0	0	0	0	0	0	0
1113	38718	1		0	0	0	0	0	0	0
1116	38718	1		0	0	0	0	0	0	0
1117	38718	1		0	0	0	0	0	0	0
1118	38718	1		0	0	0	0	0	0	0
1120	38718	1		0	0	0	0	0	0	0
1121	38718	1		0	0	0	0	0	0	0
1122	38718	1		0	0	0	0	0	0	0
1124	38718	1		0	0	0	0	0	0	0
1125	38718	1		0	0	0	0	0	0	0
1126	38718	1		0	0	0	0	0	0	0
1128	38718	1		0	0	0	0	0	0	0
1131	43101	1		0	0	0	0	0	0	0
1132	43101	1		0	0	0	0	0	0	0
1135	43101	1		0	0	0	0	0	0	0
1151	38718	1		0	0	0	0	0	0	0
1152	38718	1		0	0	0	0	0	0	0
1153	38718	1		0	0	0	0	0	0	0
1154	38718	1		0	0	0	0	0	0	0
1159	43344	1		0	0	0	0	0	0	0
1201	38718	1		0	0	1	0	0	0	0
1202	38718	1		0	0	1	0	0	0	0
1203	38718	1		0	0	1	0	0	0	0
1204	38718	1		0	0	1	0	0	0	0
1205	38718	1		0	0	0	0	1	0	0
1206	38718	1		0	0	0	0	1	0	0
1207	38718	1		0	0	0	0	1	0	0
1208	38718	1		0	0	1	0	0	0	0
1209	38718	1		0	0	1	0	0	0	0
1212	38718	1		0	0	1	0	0	0	0
1213	43101	1		0	0	1	0	0	0	0
1214	43101	1		0	0	1	0	0	0	0
1215	43586	1		0	0	1	0	0	0	0
1216	43586	1		0	0	1	0	0	0	0
1251	38718	1		0	0	0	0	0	0	0
1252	38718	1		0	0	0	0	0	0	0
1253	38718	1		0	0	0	0	0	0	0
1254	38718	1		0	0	0	0	0	0	0
1255	38718	1		0	0	0	0	0	0	0
1256	38718	1		0	0	0	0	0	0	0
1257	38718	1		0	0	0	0	0	0	0
1301	38718	1		0	0	0	0	0	0	0
1302	38718	1		0	0	0	0	0	0	0
1303	38718	1		0	0	0	0	0	0	0
1304	38718	1		0	0	0	0	0	0	0
1305	38718	1		0	0	0	0	0	0	0
1306	38718	1		0	0	0	0	0	0	0
1351	38718	1		0	0	0	0	0	0	0
1352	38718	1		0	0	0	0	0	0	0
1353	38718	1		0	0	0	0	0	0	0
1354	38718	1		0	0	0	0	0	0	0
1355	38718	1		0	0	0	0	0	0	0
1356	38718	1		0	0	0	0	0	0	0
1360	38718	1		0	0	0	0	0	0	0
1401	38718	1		0	0	0	0	0	0	0
1403	38718	1		0	0	0	0	0	0	0
1406	38718	1		0	0	0	0	0	0	0
1407	38718	1		0	0	0	0	0	0	0
1408	38718	1		0	0	0	0	0	0	0
1409	38718	1		0	0	0	0	0	0	0
1410	38718	1		0	0	1	0	0	0	0
1411	38718	1		0	0	1	0	0	0	0
1414	38718	1		0	0	0	1	0	0	0
1415	38718	1		0	0	0	1	0	0	0
1451	38718	1		0	0	0	0	0	0	0
1452	38718	1		0	0	0	0	0	0	0
1453	43800	1		0	0	0	1	0	0	0
1454	43800	1		0	0	0	1	0	0	0
1455	43800	1		0	0	0	1	0	0	0
1456	43800	1		0	0	0	0	0	0	0
1501	38718	1		0	0	0	0	0	0	0
1503	38718	1		0	0	1	0	0	0	0
1504	38718	1		0	0	1	0	0	0	0
1505	38718	1		0	0	1	0	0	0	0
1506	38718	1		0	0	1	0	0	0	0
1551	38718	1		0	0	0	0	0	0	0
1552	38718	1		0	0	0	0	0	0	0
1553	38718	1		0	0	1	0	0	0	0
1554	38718	1		0	0	0	1	0	0	0
1555	38718	1		0	0	0	0	0	0	0
1556	38718	1		0	0	0	0	0	0	0
1557	38718	1		0	0	0	0	0	0	0
1601	38718	1		0	0	0	0	0	0	0
1602	38718	1		0	0	0	0	0	0	0
1603	38718	1		0	0	0	0	0	0	0
1604	38718	1		0	0	0	0	0	0	0
1605	38718	1		0	0	0	0	0	0	0
1651	38718	1		0	0	0	0	0	0	2
1652	38718	1		0	0	0	0	0	0	2
1653	38718	1		0	0	0	0	0	0	2
1657	43862	1		0	0	0	1	0	0	2
1658	38718	1		0	0	0	0	0	0	2
1659	38718	1		0	0	0	0	0	0	2
1660	38718	1		0	0	1	0	0	0	2
1661	38718	1		0	0	1	0	0	0	2
1662	38718	1		0	0	1	0	0	0	2
1663	38718	1		0	0	0	0	0	0	1
1664	38718	1		0	0	0	1	0	0	1
1901	38718	1		0	0	0	0	0	0	0
1902	38718	1		0	0	0	1	0	0	0
1903	38718	1		0	0	0	1	0	0	0
1904	38718	1		0	0	0	1	0	0	0
1905	38718	1		0	0	0	0	0	0	0
1906	38718	1		0	0	0	1	0	0	0
1907	38718	1		0	0	0	1	0	0	0
1908	38718	1		0	0	0	0	0	0	0
1909	38718	1		0	0	0	1	0	0	0
1910	38718	1		0	0	0	0	0	0	0
1911	38718	1		0	0	0	0	0	0	0
1912	38718	1		0	0	0	0	0	0	0
1913	38718	1		0	0	0	1	0	0	0
1914	38718	1		0	0	0	1	0	0	0
1915	38718	1		0	0	0	0	0	0	0
1916	38718	1		0	0	0	1	0	0	0
1917	38718	1		0	0	0	0	0	0	0
1918	38718	1		0	0	1	0	0	0	0
1919	38718	1		0	0	1	0	0	0	0
1920	38718	1		0	0	0	0	0	0	0
1921	38718	1		0	0	0	1	0	0	0
1922	38718	1		0	0	0	0	0	0	0
1923	38718	1		0	0	0	0	0	0	0
1924	38718	1		0	0	0	0	0	0	0
1925	38718	1		0	0	0	1	0	0	0
1926	38718	1		0	0	0	0	0	0	0
1931	38718	1		0	0	0	0	0	0	0
1932	38718	1		0	0	0	0	0	0	0
1933	38718	1		0	0	0	0	0	0	0
1934	38718	1		0	0	0	0	0	0	0
1949	38718	1		0	0	0	0	0	0	0
2101	38718	1		0	0	0	0	0	0	0
2102	38718	1		0	0	0	0	0	0	0
2111	38718	1		0	0	0	0	0	0	0
2113	38718	1		0	0	0	0	0	0	0
2116	38718	1		0	0	0	0	0	0	0
2117	38718	1		0	0	0	0	0	0	0
2118	38718	1		0	0	0	0	0	0	0
2120	38718	1		0	0	0	0	0	0	0
2121	38718	1		0	0	0	0	0	0	0
2122	38718	1		0	0	0	0	0	0	0
2124	38718	1		0	0	0	0	0	0	0
2125	38718	1		0	0	0	0	0	0	0
2126	38718	1		0	0	0	0	0	0	0
2128	38718	1		0	0	0	0	0	0	0
2131	43101	1		0	0	0	0	0	0	0
2132	43101	1		0	0	0	0	0	0	0
2135	43101	1		0	0	0	0	0	0	0
2151	38718	1		0	0	0	0	0	0	0
2152	38718	1		0	0	0	0	0	0	0
2153	38718	1		0	0	0	0	0	0	0
2154	38718	1		0	0	0	0	0	0	0
2159	43344	1		0	0	0	0	0	0	0
2201	38718	1		0	0	1	0	0	0	0
2202	38718	1		0	0	1	0	0	0	0
2203	38718	1		0	0	1	0	0	0	0
2204	38718	1		0	0	1	0	0	0	0
2205	38718	1		0	0	0	0	1	0	0
2206	38718	1		0	0	0	0	1	0	0
2207	38718	1		0	0	0	0	1	0	0
2208	38718	1		0	0	1	0	0	0	0
2209	38718	1		0	0	1	0	0	0	0
2212	38718	1		0	0	1	0	0	0	0
2213	43101	1		0	0	1	0	0	0	0
2214	43101	1		0	0	1	0	0	0	0
2215	43586	1		0	0	1	0	0	0	0
2216	43586	1		0	0	1	0	0	0	0
2251	38718	1		0	0	0	0	0	0	0
2252	38718	1		0	0	0	0	0	0	0
2253	38718	1		0	0	0	0	0	0	0
2254	38718	1		0	0	0	0	0	0	0
2255	38718	1		0	0	0	0	0	0	0
2256	38718	1		0	0	0	0	0	0	0
2257	38718	1		0	0	0	0	0	0	0
2301	38718	1		0	0	0	0	0	0	0
2302	38718	1		0	0	0	0	0	0	0
2303	38718	1		0	0	0	0	0	0	0
2304	38718	1		0	0	0	0	0	0	0
2305	38718	1		0	0	0	0	0	0	0
2306	38718	1		0	0	0	0	0	0	0
2351	38718	1		0	0	0	0	0	0	0
2352	38718	1		0	0	0	0	0	0	0
2353	38718	1		0	0	0	0	0	0	0
2354	38718	1		0	0	0	0	0	0	0
2355	38718	1		0	0	0	0	0	0	0
2356	38718	1		0	0	0	0	0	0	0
2401	38718	1		0	0	0	0	0	0	0
2403	38718	1		0	0	0	0	0	0	0
2406	38718	1		0	0	0	0	0	0	0
2407	38718	1		0	0	0	0	0	0	0
2408	38718	1		0	0	0	0	0	0	0
2409	38718	1		0	0	0	0	0	0	0
2410	38718	1		0	0	1	0	0	0	0
2411	38718	1		0	0	1	0	0	0	0
2414	38718	1		0	0	0	1	0	0	0
2415	38718	1		0	0	0	1	0	0	0
2451	43800	1		0	0	0	0	0	0	0
2452	43800	1		0	0	0	0	0	0	0
2453	43800	1		0	0	0	1	0	0	0
2454	43800	1		0	0	0	1	0	0	0
2455	43800	1		0	0	0	1	0	0	0
2456	43800	1		0	0	0	0	0	0	0
2501	38718	1		0	0	0	0	0	0	0
2503	38718	1		0	0	1	0	0	0	0
2504	38718	1		0	0	1	0	0	0	0
2505	38718	1		0	0	1	0	0	0	0
2506	38718	1		0	0	1	0	0	0	0
2551	38718	1		0	0	0	0	0	0	0
2552	38718	1		0	0	0	0	0	0	0
2553	38718	1		0	0	1	0	0	0	0
2554	38718	1		0	0	0	1	0	0	0
2555	38718	1		0	0	0	0	0	0	0
2556	38718	1		0	0	0	0	0	0	0
2557	38718	1		0	0	0	0	0	0	0
2603	38718	1		0	0	0	0	0	0	0
2651	38718	1		0	0	0	0	0	0	2
2652	38718	1		0	0	0	0	0	0	2
2653	38718	1		0	0	0	0	0	0	2
2657	43862	1		0	0	0	1	0	0	2
2658	38718	1		0	0	0	0	0	0	2
2659	38718	1		0	0	0	0	0	0	2
2660	38718	1		0	0	1	0	0	0	2
2661	38718	1		0	0	1	0	0	0	2
2662	38718	1		0	0	1	0	0	0	2
2663	38718	1		0	0	0	0	0	0	1
2664	38718	1		0	0	0	1	0	0	1
2901	38718	1		0	0	0	0	0	0	0
2902	38718	1		0	0	0	1	0	0	0
2903	38718	1		0	0	0	1	0	0	0
2904	38718	1		0	0	0	1	0	0	0
2905	38718	1		0	0	0	0	0	0	0
2906	38718	1		0	0	0	1	0	0	0
2907	38718	1		0	0	0	1	0	0	0
2908	38718	1		0	0	0	0	0	0	0
2909	38718	1		0	0	0	1	0	0	0
2910	38718	1		0	0	0	0	0	0	0
2911	38718	1		0	0	0	0	0	0	0
2912	38718	1		0	0	0	0	0	0	0
2913	38718	1		0	0	0	1	0	0	0
2914	38718	1		0	0	0	1	0	0	0
2915	38718	1		0	0	0	0	0	0	0
2916	38718	1		0	0	0	1	0	0	0
2917	38718	1		0	0	0	0	0	0	0
2918	38718	1		0	0	1	0	0	0	0
2919	38718	1		0	0	1	0	0	0	0
2920	38718	1		0	0	0	0	0	0	0
2921	38718	1		0	0	0	1	0	0	0
2922	38718	1		0	0	0	0	0	0	0
2923	38718	1		0	0	0	0	0	0	0
2924	38718	1		0	0	0	0	0	0	0
2925	38718	1		0	0	0	1	0	0	0
2931	38718	1		0	0	0	0	0	0	0
2932	38718	1		0	0	0	0	0	0	0
2933	38718	1		0	0	0	0	0	0	0
2934	38718	1		0	0	0	0	0	0	0
2949	38718	1		0	0	0	0	0	0	0
3101	38718	1		0	0	0	0	0	0	0
3102	38718	1		0	0	0	0	0	0	0
3126	38718	1		0	0	0	0	0	0	0
3127	38718	1		0	0	0	0	0	0	0
3128	38718	1		0	0	0	0	0	0	0
3129	38718	1		0	0	0	0	0	0	0
3201	38718	1		0	0	1	0	0	0	0
3202	38718	1		0	0	1	0	0	0	0
3205	38718	1		0	0	0	0	1	0	0
3206	38718	1		0	0	0	0	1	0	0
3207	38718	1		0	0	0	0	1	0	0
3211	38718	1		0	0	1	0	0	0	0
3212	38718	1		0	0	1	0	0	0	0
3251	38718	1		0	0	0	0	0	0	0
3301	38718	1		0	0	0	0	0	0	0
3351	38718	1		0	0	0	0	0	0	0
3352	38718	1		0	0	0	0	0	0	0
3353	38718	1		0	0	0	0	0	0	0
3354	38718	1		0	0	0	0	0	0	0
3355	38718	1		0	0	0	0	0	0	0
3356	38718	1		0	0	0	0	0	0	0
3503	38718	1		0	0	1	0	0	0	0
3551	38718	1		0	0	0	0	0	0	0
3552	44348	1		0	0	0	0	0	0	0
3553	38718	1		0	0	1	0	0	0	0
3556	38718	1		0	0	0	0	0	0	0
3651	38718	1		0	0	0	0	0	0	1
3652	38718	1		0	0	0	0	0	0	1
3653	38718	1		0	0	0	0	0	0	1
3667	44348	1		0	0	0	0	0	0	2
3930	38718	1		0	0	0	0	0	0	0
3949	38718	1		0	0	0	0	0	0	0
5101	38718	1		0	0	0	0	0	0	0
5102	38718	1		0	0	0	0	0	0	0
5103	38718	1		0	0	0	0	0	0	0
5104	38718	1		0	0	0	0	0	0	0
5105	38718	1		0	0	0	0	0	0	0
5106	38718	1		0	0	0	0	0	0	0
