id	arquivo	sha256	linhas	gerado_em
aliquotas-cbs	IT 2026.002 v.1.00 - Aliquotas da CBS.xlsx	33f17aa3322de841c7cb7bd469a2785d34cea34fadd0571e18bd8f7c88872f3b	3	2026-06-22T01:44:18.786Z
cclass-nfag	Tabela-cClass.xlsx	c2f1419188cf780c11dbd15a477ea8d6425b50e90d8f40a1cef7dfc2edd5309d	35	2026-06-22T01:44:18.786Z
cclasstrib	cClassTrib 2026_04_15.xlsx	cc0242ed17ebf93e23ce892e3316850de2077fbc8cc7a82a54e0a553c045a71a	157	2026-06-22T01:44:18.786Z
ccredpres	cCredPres_2025-12-12Public.xlsx	8d547b5afed3e82a15a6f5f41897dd99dcb686ecb21de3c1be344c8f57109df9	13	2026-06-22T01:44:18.786Z
cfop	IT 2023.002-v1.00_Tabela_CFOP_Vigência_20230424.xlsx	b9dfd271a4f11816df525cfde3818e1d7561ab951d5649f3654bda303041d02a	619	2026-06-22T01:44:18.786Z
combustiveis-monofasicos	Tabela de Combustíveis Sujeitos à Tributação Monofásica-20251202 (vigência a partir de 01-01-2026).xlsx	be7cdb342e95eb15990070bf17105a25e38aba28af8d3eebdb4ea7fe96773460	40	2026-06-22T01:44:18.786Z
cprodanp	Tabela_Codigo_Produto_ANP-20241118.xlsx	8271a80007548b0151cc00b769d4b84359cc37429c1d26ce68402b48e7d00b1a	1031	2026-06-22T01:44:18.786Z
fcp-uf	Tabela_Alíquotas_FCP_por_UF_2025-02_07.xlsx	3079d088169003cf0ef0da5ab36de0930efd5e9cee27c567650b767736f9cb91	29	2026-06-22T01:44:18.786Z
lista-servicos	Tabela de Códigos de Item da Lista de Serviços.xlsx	152ff24ac7d1dd4854a25591c33b93e109ecee5dc159f4bf5fa85f27a7567a14	201	2026-06-22T01:44:18.786Z
municipios	250210_Tab_Municipios.xlsx	768a59b4705df926ee3d09533d122ca056c7440e0a7be1be5247e70fdb8354f0	5571	2026-06-22T01:44:18.786Z
ncm	Tabela NCM 2022 com Utrib_Comércio Exterior_vigência 01.02.26.xlsx	b06ecddeb15e36688e6398c36f51ae29b7ef6dfc1eca765c1c37ee9416a64e7b	10520	2026-06-22T01:44:18.786Z
nfe-abi	Tabela de Códigos NFe ABI - v2.00 - Minuta.xlsx	e23d659c83bb8bb31129e7ee9d4fdbe0be820e6d4cc4ffe9bdc7bf53f9e3c783	5	2026-06-22T01:44:18.786Z
pbio	tbIndiceMisturaBioCombustivel_20260424.xlsx	940b812405355fecd258fa0cc0800a9dbec26bd3e9ef52362ca3e93cdbbbe578	9	2026-06-22T01:44:18.786Z
prefixo-gs1	Tabela_Prefixo_GS1.xlsx	6f75b924f7fc97a2b5c4b6483479c035304ec642b48eebc61bd2b1afb5b62606	28	2026-06-22T01:44:18.786Z
regime-especial	Tabela de Padrões de Regime Especial.xlsx	c10d2fdb149fd8cd82383d41d82db9a1acbd2b11714b549c3184549baec5dcd2	2	2026-06-22T01:44:18.786Z
tband	Tabela de bandeiras de cartão de crédito-débito.xlsx	0ba5a1a000b878981e248df1873cbce72059f68b56eab18bca75122d1d9121dd	31	2026-06-22T01:44:18.786Z
tpag	Tabela_de_meios_de_pagamento - 04032026.xlsx	f85d4a6d50390f824921703d166d3f2f4ec637b7244fa922248ef14e782d8a2d	24	2026-06-22T01:44:18.786Z
tpveic	Tabela de Tipo e Especie de Veículo.xlsx	03c399be8a80fe0c2c99e0bb1dd04e2c23fc04890f070307d0bbd7d5077cb5d7	40	2026-06-22T01:44:18.786Z
