NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
01012100	42370	4		Unidade
01012900	42370	4		Unidade
01013000	42370	4		Unidade
01019000	42370	4		Unidade
01022110	42370	4		Unidade
01022190	42370	4		Unidade
01022911	42370	4		Unidade
01022919	42370	4		Unidade
01022990	42370	4		Unidade
01023110	42370	4		Unidade
01023190	42370	4		Unidade
01023911	42370	4		Unidade
01023919	42370	4		Unidade
01023990	42370	4		Unidade
01029000	42370	4		Unidade
01031000	42370	4		Unidade
01039100	42370	4		Unidade
01039200	42370	4		Unidade
01041011	42370	4		Unidade
01041019	42370	4		Unidade
01041090	42370	4		Unidade
01042010	42370	4		Unidade
01042090	42370	4		Unidade
01051110	42370	4		Unidade
01051190	42370	4		Unidade
01051200	42370	4		Unidade
01051300	42370	4		Unidade
01051400	42370	4		Unidade
01051500	42370	4		Unidade
01059400	42370	4		Unidade
01059900	42370	4		Unidade
01061100	42370	4		Unidade
01061200	42370	4		Unidade
01061300	42370	4		Unidade
01061400	42370	4		Unidade
01061900	42370	4		Unidade
01062000	42370	4		Unidade
01063100	42370	4		Unidade
01063200	42370	4		Unidade
01063310	42370	4		Unidade
01063390	42370	4		Unidade
01063900	42370	4		Unidade
01064100	42370	48		Quilograma
01064900	42370	48		Quilograma
01069000	42370	4		Unidade
02011000	42370	48		Quilograma
02012010	42370	48		Quilograma
02012020	42370	48		Quilograma
02012090	42370	48		Quilograma
02013000	42370	48		Quilograma
02021000	42370	48		Quilograma
02022010	42370	48		Quilograma
02022020	42370	48		Quilograma
02022090	42370	48		Quilograma
02023000	42370	48		Quilograma
02031100	42370	48		Quilograma
02031200	42370	48		Quilograma
02031900	42370	48		Quilograma
02032100	42370	48		Quilograma
02032200	42370	48		Quilograma
02032900	42370	48		Quilograma
02041000	42370	48		Quilograma
02042100	42370	48		Quilograma
02042200	42370	48		Quilograma
02042300	42370	48		Quilograma
02043000	42370	48		Quilograma
02044100	42370	48		Quilograma
02044200	42370	48		Quilograma
02044300	42370	48		Quilograma
02045000	42370	48		Quilograma
02050000	42370	48		Quilograma
02061000	42370	48		Quilograma
02062100	42370	48		Quilograma
02062200	42370	48		Quilograma
02062910	42370	48		Quilograma
02062990	42370	48		Quilograma
02063000	42370	48		Quilograma
02064100	42370	48		Quilograma
02064900	42370	48		Quilograma
02068000	42370	48		Quilograma
02069000	42370	48		Quilograma
02071100	42370	48		Quilograma
02071210	45017	48		Quilograma
02071220	45017	48		Quilograma
02071300	42370	48		Quilograma
02071411	45505	48		Quilograma
02071412	45505	48		Quilograma
02071413	45505	48		Quilograma
02071419	45505	48		Quilograma
02071421	45505	48		Quilograma
02071422	45505	48		Quilograma
02071423	45505	48		Quilograma
02071424	45505	48		Quilograma
02071429	45505	48		Quilograma
