Tabela de bandeiras das Operadoras de cartão   de crédito e/ou débito			
tBand	Operadora	dIniVig	dFimVig
01	Visa	43831	
02	Mastercard	43831	
03	American Express	43831	
04	Sorocred	43831	
05	Diners Club	43831	
06	Elo	43831	
07	Hipercard	43831	
08	Aura	43831	
09	Cabal	43831	
10	Alelo	43831	
11	Banes Card	43831	
12	CalCard	43831	
13	Credz	43831	
14	Discover	43831	
15	GoodCard	43831	
16	GreenCard	43831	
17	Hiper	43831	
18	JcB	43831	
19	Mais	43831	
20	MaxVan	43831	
21	Policard	43831	
22	RedeCompras	43831	
23	Sodexo	43831	
24	ValeCard	43831	
25	Verocheque	43831	
26	VR	43831	
27	Ticket	43831	
99	Outros	43831	
			
			
